Без региона;-1;
Москва и Московская область;1;
Санкт-Петербург;2;
Центральный федеральный округ;3;
Белгород;4;
Иваново;5;
Калуга;6;
Кострома;7;
Курск;8;
Липецк;9;
Орёл;10;
Рязань;11;
Смоленск;12;
Тамбов;13;
Тверь;14;
Тула;15;
Ярославль;16;
Северо-Западный федеральный округ;17;
Петрозаводск;18;
Сыктывкар;19;
Архангельск;20;
Вологда;21;
Калининград;22;
Мурманск;23;
Великий Новгород;24;
Псков;25;
Южный федеральный округ;26;
Махачкала;28;
Нальчик;30;
Владикавказ;33;
Краснодар;35;
Ставрополь;36;
Астрахань;37;
Волгоград;38;
Ростов-на-Дону;39;
Приволжский федеральный округ;40;
Йошкар-Ола;41;
Саранск;42;
Казань;43;
Ижевск;44;
Чебоксары;45;
Киров;46;
Нижний Новгород;47;
Оренбург;48;
Пенза;49;
Пермь;50;
Самара;51;
Уральский федеральный округ;52;
Курган;53;
Екатеринбург;54;
Тюмень;55;
Челябинск;56;
Ханты-Мансийск;57;
Салехард;58;
Сибирский федеральный округ;59;
Красноярск;62;
Иркутск;63;
Кемерово;64;
Новосибирск;65;
Омск;66;
Томск;67;
Чита;68;
Дальневосточный федеральный округ;73;
Якутск;74;
Владивосток;75;
Хабаровск;76;
Благовещенск;77;
Петропавловск-Камчатский;78;
Магадан;79;
Южно-Сахалинск;80;
США;84;
Атланта;86;
Вашингтон;87;
Детройт;89;
Сан-Франциско;90;
Сиэтл;91;
Аргентина;93;
Бразилия;94;
Канада;95;
Германия;96;
Хайдельберг;97;
Кельн;98;
Мюнхен;99;
Франкфурт-на-Майне;100;
Штутгарт;101;
Великобритания;102;
Европа;111;
Австрия;113;
Бельгия;114;
Болгария;115;
Венгрия;116;
Литва;117;
Нидерланды;118;
Норвегия;119;
Польша;120;
Словакия;121;
Словения;122;
Финляндия;123;
Франция;124;
Чехия;125;
Швейцария;126;
Швеция;127;
Беэр-Шева;129;
Иерусалим;130;
Тель-Авив;131;
Хайфа;132;
Китай;134;
Южная Корея;135;
Япония;137;
Австралия и Океания;138;
Новая Зеландия;139;
Днепропетровск;141;
Донецк;142;
Киев;143;
Львов;144;
Одесса;145;
Симферополь;146;
Харьков;147;
Николаев;148;
Беларусь;149;
Брест;153;
Витебск;154;
Гомель;155;
Минск;157;
Могилёв;158;
Казахстан;159;
Алматы;162;
Астана;163;
Караганда;164;
Семей;165;
СНГ;166;
Азербайджан;167;
Армения;168;
Грузия;169;
Туркмения;170;
Узбекистан;171;
Уфа;172;
Берлин;177;
Гамбург;178;
Эстония;179;
Сербия;180;
Израиль;181;
Азия;183;
Украина;187;
Павлодар;190;
Брянск;191;
Владимир;192;
Воронеж;193;
Саратов;194;
Ульяновск;195;
Барнаул;197;
Улан-Удэ;198;
Лос-Анджелес;200;
Нью-Йорк;202;
Дания;203;
Испания;204;
Италия;205;
Латвия;206;
Киргизия;207;
Молдова;208;
Таджикистан;209;
Объединённые Арабские Эмираты;210;
Австралия;211;
Москва;213;
Долгопрудный;214;
Дубна;215;
Зеленоград;216;
Пущино;217;
Черноголовка;219;
Шымкент;221;
Луганск;222;
Бостон;223;
Россия;225;
Магнитогорск;235;
Набережные Челны;236;
Новокузнецк;237;
Новочеркасск;238;
Сочи;239;
Тольятти;240;
Африка;241;
Арктика и Антарктика;245;
Греция;246;
Универсальное;318;
Другие города региона;349;
Универсальное;350;
Прочее;381;
Общероссийские;382;
Другие города региона;413;
Универсальное;414;
Другие города региона;445;
Универсальное;446;
Другие города региона;477;
Универсальное;478;
Другие города региона;509;
Универсальное;510;
Другие города региона;541;
Универсальное;542;
Другие города региона;573;
Универсальное;574;
Прочее;605;
Универсальное;606;
Прочее;637;
Универсальное;638;
Прочее;669;
Универсальное;670;
Прочее;701;
Универсальное;702;
Прочее;733;
Универсальное;734;
Прочее;765;
Универсальное;766;
Прочее;797;
Универсальное;798;
Прочее;829;
Универсальное;830;
Прочее;861;
Универсальное;862;
Прочее;893;
Универсальное;894;
Прочее;925;
Универсальное;926;
Прочее;957;
Универсальное;958;
Севастополь;959;
Запорожье;960;
Хмельницкий;961;
Херсон;962;
Винница;963;
Полтава;964;
Сумы;965;
Чернигов;966;
Обнинск;967;
Череповец;968;
Выборг;969;
Новороссийск;970;
Таганрог;971;
Дзержинск;972;
Сургут;973;
Находка;974;
Бийск;975;
Братск;976;
Республика Крым;977;
Прочее;978;
Универсальное;979;
Страны Балтии;980;
Прочее;981;
Универсальное;982;
Турция;983;
Индия;994;
Таиланд;995;
Ближний Восток;1004;
Прочее;1048;
Универсальное;1049;
Прочее;1054;
Универсальное;1055;
Египет;1056;
Туапсе;1058;
Нижневартовск;1091;
Назрань;1092;
Майкоп;1093;
Элиста;1094;
Абакан;1095;
Черкесск;1104;
Грозный;1106;
Анапа;1107;
Свольвер;1161;
Оре;2214;
Орескутан;2215;
Леви;2824;
Скапа;3016;
Корк;3955;
Уэксфорд;3958;
Килларней;3963;
Голуэй;3964;
Графство Донегол;3979;
Вестманнаэйяр;4048;
Акурейри;4063;
Гримси;4065;
Сэйдисфьордур;4090;
Исафьордур;4108;
Акранес;4127;
Киркьюбур;6012;
Саксун;6013;
Хусар;6014;
Оденсе;6120;
Роскилле;6170;
Клерво;6585;
Вианден;6586;
Эш-сюр-Сюр;6587;
Эхтернах;6597;
Шенген;6598;
Мальбюн;6989;
Нант;7222;
Энкам;7727;
Ла Массана;7728;
Эшторил;8529;
Кашкайш;8533;
Брага;8547;
Яндекс.wifi;9000;
Яндекс.ДЦ.Ивантеевка;9980;
Яндекс.ДЦ.DC3;9981;
Яндекс.ДЦ.ЭТО;9982;
Яндекс.ДЦ.Фиан;9983;
Яндекс.ДЦ.Угрешка;9984;
Яндекс.КР;9990;
Яндекс.Самокатная;9991;
Яндекс.Бенуа;9992;
Яндекс.ЕКБ;9993;
Яндекс.Бёрлингейм;9994;
Яндекс.Киев;9995;
Яндекс.Одесса;9996;
Яндекс.Симферополь;9997;
Яндекс (Москва);9999;
Земля;10000;
Евразия;10001;
Северная Америка;10002;
Южная Америка;10003;
Ямайка;10013;
Боливия;10015;
Куба;10017;
Марокко;10020;
ЮАР;10021;
Сейшельские острова;10022;
Ливия;10023;
Тунис;10024;
Кокосовые острова;10029;
Фиджи;10030;
Албания;10054;
Босния и Герцеговина;10057;
Ирландия;10063;
Исландия;10064;
Лихтенштейн;10067;
Македония;10068;
Мальта;10069;
Монако;10070;
Португалия;10074;
Румыния;10077;
Хорватия;10083;
Андорра;10088;
Гибралтар;10089;
Афганистан;10090;
Бангладеш;10091;
Вьетнам;10093;
Индонезия;10095;
Малайзия;10097;
Мальдивы;10098;
Монголия;10099;
Мьянма;10100;
Непал;10101;
Пакистан;10102;
Северная Корея;10104;
Сингапур;10105;
Филиппины;10108;
Шри-Ланка;10109;
Оттава;10114;
Торонто;10115;
Гонолулу;10119;
Майами;10122;
Солт-Лейк-Сити;10127;
Филадельфия;10129;
Хьюстон;10130;
Чикаго;10131;
Кингстон;10132;
Буэнос-Айрес;10133;
Ла-Пас;10134;
Санта-Крус-де-ла-Сьерра;10135;
Бразилиа;10136;
Гавана;10137;
Касабланка;10138;
Рабат;10139;
Претория;10140;
Виктория;10141;
Триполи;10142;
Тунис;10143;
Канберра;10144;
Сидней;10145;
Таунсвилл;10146;
Веллингтон;10147;
Уэст-Айленд;10148;
Нанди;10149;
Сува;10150;
Санкт-Петербург и Ленинградская область;10174;
Ненецкий автономный округ;10176;
Республика Алтай;10231;
Республика Тыва;10233;
Таймырский район;10235;
Эвенкийский район;10239;
Еврейская автономная область;10243;
Чукотский автономный округ;10251;
Баку;10253;
Гянджа;10254;
Сумгаит;10255;
Нахичевань;10256;
Армавир;10257;
Ванадзор;10258;
Гюмри;10259;
Джермук;10260;
Дилижан;10261;
Ереван;10262;
Севан;10263;
Цахкадзор;10265;
Гродно;10274;
Полоцк;10275;
Орша;10276;
Тбилиси;10277;
Батуми;10278;
Кутаиси;10279;
Гагра;10280;
Сухум;10281;
Пицунда;10282;
Поти;10283;
Гори;10284;
Рустави;10285;
Аральск;10289;
Атырау;10291;
Байконур;10292;
Балхаш;10293;
Костанай;10295;
Петропавловск;10298;
Рудный;10300;
Рузаевка;10301;
Талдыкорган;10303;
Уральск;10305;
Усть-Каменогорск;10306;
Жезказган;10308;
Бишкек;10309;
Ош;10310;
Балыкчи;10311;
Джалал-Абад;10312;
Кишинев;10313;
